date	latitude	longitude	blh	co_ugm3	no2_ugm3	so2_ugm3	PM25
20240101	-1.25	120.5	226.432	2997.355939	5.680721	1.059316	11.32
20240101	-2.0	120.5	270.835	2438.166042	5.611885	0.621225	12.97
20240101	-2.75	120.5	310.458	2255.757623	4.837189	0.560236	15.83
20240101	-3.5	118.25	467.864	1636.286827	2.394863	0.448863	2.18
20240101	-3.5	119.0	418.848	1791.699375	3.392777	0.594692	5.86
20240101	-3.5	119.75	221.762	3433.398869	8.086228	1.527893	15.62
20240101	-3.5	120.5	361.994	2101.475439	4.115237	0.728481	16.88
20240101	-4.25	118.25	463.689	1646.861797	2.519771	0.464499	3.12
20240101	-4.25	119.0	375.867	2045.794922	3.60581	0.812115	8.69
20240101	-4.25	119.75	288.825	2681.83606	5.642403	1.40989	17.0
20240101	-4.25	120.5	312.705	2460.878784	4.361855	0.955766	14.41
20240101	-5.0	118.25	418.765	1852.805989	3.721529	0.806226	9.84
20240101	-5.0	119.0	366.007	2125.916444	4.953397	1.33756	16.84
20240101	-5.0	119.75	284.783	2632.966153	5.440005	1.809683	18.19
20240101	-5.0	120.5	406.968	1828.925861	2.978082	0.899851	14.45
20240101	-5.75	118.25	398.52	1946.876694	3.278415	0.94284	13.24
20240101	-5.75	119.0	439.973	1738.716012	2.974664	0.992837	15.91
20240101	-5.75	119.75	422.189	1762.750332	2.80476	1.097964	17.06
20240101	-5.75	120.5	391.385	1876.917358	2.61475	0.892523	13.34
20240102	-1.25	120.5	192.585	3601.382766	6.688834	1.17637	10.76
20240102	-2.0	120.5	317.314	2152.4408	4.77024	0.575876	15.41
20240102	-2.75	120.5	316.34	2263.122906	4.627391	0.576523	19.52
20240102	-3.5	118.25	526.533	1461.560434	2.146057	0.3341	5.65
20240102	-3.5	119.0	387.241	1957.757572	3.707952	0.588792	11.23
20240102	-3.5	119.75	216.262	3536.271744	7.072514	1.399423	18.8
20240102	-3.5	120.5	351.307	2174.184972	3.895157	0.694739	19.91
20240102	-4.25	118.25	494.59	1565.844841	2.165588	0.326709	6.38
20240102	-4.25	119.0	524.523	1483.832168	2.540192	0.53126	9.95
20240102	-4.25	119.75	282.619	2765.552918	5.353978	1.286269	16.66
20240102	-4.25	120.5	370.093	2084.327723	3.543944	0.709427	16.06
20240102	-5.0	118.25	418.804	1840.431562	2.702899	0.595005	10.8
20240102	-5.0	119.0	413.382	1874.210295	3.577067	1.008241	14.7
20240102	-5.0	119.75	273.366	2780.354543	5.875456	1.8501	15.3
20240102	-5.0	120.5	387.838	1939.049294	3.464488	0.914372	13.61
20240102	-5.75	118.25	424.426	1766.888692	2.550984	0.693572	15.67
20240102	-5.75	119.0	457.473	1662.991259	2.862348	0.930283	17.7
20240102	-5.75	119.75	451.531	1663.664289	3.199342	1.114348	17.11
20240102	-5.75	120.5	410.273	1816.31694	2.951949	0.86258	10.49
20240103	-1.25	120.5	231.707	2913.720345	5.26291	1.170392	11.8
20240103	-2.0	120.5	304.749	2224.013204	4.780931	0.725108	15.19
20240103	-2.75	120.5	342.377	2081.831139	4.066103	0.671221	21.01
20240103	-3.5	118.25	487.194	1463.872297	2.24276	0.427169	8.44
20240103	-3.5	119.0	402.135	1786.339911	3.306646	0.634444	13.05
20240103	-3.5	119.75	224.551	3302.970817	6.632961	1.641854	20.77
20240103	-3.5	120.5	377.707	1992.636885	3.532153	0.853741	22.49
20240103	-4.25	118.25	435.069	1661.193742	2.232109	0.382783	7.19
20240103	-4.25	119.0	425.233	1697.754643	2.665849	0.678473	9.06
20240103	-4.25	119.75	296.843	2502.287741	4.564669	1.415935	17.04
20240103	-4.25	120.5	360.825	2095.016975	3.594859	0.945514	21.91
20240103	-5.0	118.25	378.575	1909.37278	2.886591	0.526763	6.74
20240103	-5.0	119.0	393.317	1830.899758	3.520163	0.963493	9.04
20240103	-5.0	119.75	266.624	2723.456253	6.145182	1.986807	14.89
20240103	-5.0	120.5	382.634	1936.378105	3.764172	1.075484	19.35
20240103	-5.75	118.25	441.054	1617.287906	2.368746	0.468979	5.81
20240103	-5.75	119.0	441.65	1648.257444	2.842771	0.780866	7.52
20240103	-5.75	119.75	390.681	1890.914582	3.866408	1.31611	13.59
20240103	-5.75	120.5	378.142	1978.133347	3.552708	1.144405	15.93
20240104	-1.25	120.5	246.638	2812.454285	5.695185	1.026062	4.38
20240104	-2.0	120.5	297.057	2350.432745	5.669491	0.727806	4.53
20240104	-2.75	120.5	340.854	2175.525005	4.762347	0.673901	6.03
20240104	-3.5	118.25	447.146	1670.167909	3.064646	0.648723	7.54
20240104	-3.5	119.0	371.693	2024.129591	4.948108	0.792773	8.65
20240104	-3.5	119.75	167.279	4618.360942	12.929298	2.165494	10.14
20240104	-3.5	120.5	397.971	1956.659907	4.329207	0.766644	8.2
20240104	-4.25	118.25	404.487	1852.019966	2.788831	0.605477	8.7
20240104	-4.25	119.0	381.695	1997.98504	4.139559	1.01481	9.28
20240104	-4.25	119.75	227.172	3436.785783	8.752901	2.05718	11.17
20240104	-4.25	120.5	413.604	1910.831133	4.298462	0.816234	9.61
20240104	-5.0	118.25	461.216	1641.392753	2.500789	0.628465	10.74
20240104	-5.0	119.0	438.38	1753.613075	3.92835	1.139965	12.01
20240104	-5.0	119.75	239.096	3231.345568	8.793075	2.535615	12.49
20240104	-5.0	120.5	433.87	1803.67299	3.985138	0.991594	10.34
20240104	-5.75	118.25	506.784	1485.717781	2.163172	0.609168	11.33
20240104	-5.75	119.0	454.891	1685.630404	2.784201	0.852316	11.51
20240104	-5.75	119.75	331.682	2336.703831	4.964692	1.550956	12.57
20240104	-5.75	120.5	375.388	2089.922693	3.814959	1.133669	10.5
20240105	-1.25	120.5	233.209	2857.752488	5.304637	0.719784	9.55
20240105	-2.0	120.5	302.724	2202.623842	4.289237	0.522968	12.18
20240105	-2.75	120.5	314.435	2263.415968	4.398184	0.630192	15.99
20240105	-3.5	118.25	435.774	1758.153309	2.731214	0.481576	5.64
20240105	-3.5	119.0	420.391	1777.860373	3.458652	0.564432	8.56
20240105	-3.5	119.75	183.352	4097.208102	9.185299	1.796503	13.04
20240105	-3.5	120.5	344.987	2176.4223	4.5344	0.817807	15.37
20240105	-4.25	118.25	367.719	2071.911432	3.071916	0.481906	5.39
20240105	-4.25	119.0	404.881	1884.931375	3.424199	0.661376	6.83
20240105	-4.25	119.75	292.235	2626.438654	5.749209	1.275803	11.08
20240105	-4.25	120.5	382.592	2017.989399	4.416587	0.797304	12.19
20240105	-5.0	118.25	353.62	2204.524914	4.234537	0.714397	5.97
20240105	-5.0	119.0	340.016	2301.474048	5.502673	1.216305	7.84
20240105	-5.0	119.75	260.102	3001.914633	7.429997	2.010169	9.65
20240105	-5.0	120.5	383.597	2035.713783	4.414753	1.032912	10.07
20240105	-5.75	118.25	344.467	2253.6391	4.114031	0.901909	5.77
20240105	-5.75	119.0	358.396	2192.18825	4.509099	1.07606	6.82
20240105	-5.75	119.75	397.93	1972.731888	4.262508	1.214066	8.19
20240105	-5.75	120.5	391.258	1986.253061	3.403184	0.955246	7.56
20240106	-1.25	120.5	307.752	1963.317541	3.215423	0.625226	9.49
20240106	-2.0	120.5	311.798	1948.294088	3.303918	0.491471	11.32
20240106	-2.75	120.5	284.233	2329.316089	3.833777	0.61684	15.13
20240106	-3.5	118.25	490.929	1513.618466	2.04916	0.370807	6.42
20240106	-3.5	119.0	371.457	1945.473096	3.10178	0.631108	10.18
20240106	-3.5	119.75	205.551	3463.176535	6.584317	1.60153	14.16
20240106	-3.5	120.5	324.923	2174.780179	3.902525	0.825732	14.87
20240106	-4.25	118.25	432.215	1720.727647	2.236782	0.395412	6.04
20240106	-4.25	119.0	407.228	1794.512411	2.857235	0.642624	7.54
20240106	-4.25	119.75	244.64	2957.912034	5.668296	1.54823	11.43
20240106	-4.25	120.5	384.955	1883.503007	3.470239	0.82696	12.47
20240106	-5.0	118.25	372.999	1999.660857	3.750704	0.609218	6.76
20240106	-5.0	119.0	400.483	1838.143941	4.221855	0.961445	8.63
20240106	-5.0	119.75	211.46	3471.534096	7.801972	2.538017	12.51
20240106	-5.0	120.5	450.494	1621.747459	3.106263	0.945048	12.94
20240106	-5.75	118.25	420.679	1760.292527	2.955617	0.613844	8.16
20240106	-5.75	119.0	415.202	1788.586038	3.184175	0.829421	8.87
20240106	-5.75	119.75	378.002	1954.23384	3.583899	1.312017	12.52
20240106	-5.75	120.5	474.47	1525.082513	2.481369	0.906607	13.21
20240107	-1.25	120.5	266.01	2241.736025	4.182865	0.869038	7.38
20240107	-2.0	120.5	317.369	1884.974903	4.501041	0.599289	9.29
20240107	-2.75	120.5	305.786	2128.05099	4.934869	0.693109	11.44
20240107	-3.5	118.25	458.731	1519.972053	2.298779	0.394118	6.35
20240107	-3.5	119.0	398.924	1724.768878	3.211499	0.57094	9.55
20240107	-3.5	119.75	237.108	2916.20443	6.625917	1.533857	12.34
20240107	-3.5	120.5	395.864	1756.561092	3.834443	0.799252	11.3
20240107	-4.25	118.25	410.072	1763.897803	2.389859	0.459684	5.96
20240107	-4.25	119.0	379.882	1869.251241	3.198872	0.721045	7.06
20240107	-4.25	119.75	333.228	2137.292484	4.47204	1.270506	10.24
20240107	-4.25	120.5	302.569	2359.355387	4.360407	1.228798	10.27
20240107	-5.0	118.25	414.892	1761.698948	2.972586	0.596831	6.57
20240107	-5.0	119.0	344.385	2087.179755	4.553564	1.15894	8.09
20240107	-5.0	119.75	267.444	2667.865422	6.48059	2.097555	10.71
20240107	-5.0	120.5	410.108	1736.667902	3.379068	1.15436	10.71
20240107	-5.75	118.25	456.098	1578.840732	2.472936	0.610952	8.11
20240107	-5.75	119.0	421.45	1700.811247	2.796875	0.856475	7.98
20240107	-5.75	119.75	436.536	1629.802124	3.091262	1.194161	10.51
20240107	-5.75	120.5	485.015	1440.144944	2.493412	1.000779	11.13
20240108	-1.25	120.5	240.121	2461.450269	4.066762	0.848513	9.1
20240108	-2.0	120.5	298.689	1979.12578	3.556954	0.644401	13.71
20240108	-2.75	120.5	283.551	2218.81002	4.465359	0.800195	17.78
20240108	-3.5	118.25	475.166	1374.312766	2.128862	0.385328	7.18
20240108	-3.5	119.0	389.629	1622.974676	3.085433	0.590339	10.44
20240108	-3.5	119.75	200.085	3181.796736	7.207872	1.639516	14.08
20240108	-3.5	120.5	342.608	1893.623325	4.254658	0.871718	15.41
20240108	-4.25	118.25	512.327	1315.157116	2.15095	0.333279	6.25
20240108	-4.25	119.0	455.975	1431.207413	2.77252	0.572509	7.51
20240108	-4.25	119.75	329.429	1972.877616	4.435605	1.097013	11.59
20240108	-4.25	120.5	566.817	1140.600405	2.440629	0.590693	13.77
20240108	-5.0	118.25	468.291	1421.971595	2.705512	0.475413	6.1
20240108	-5.0	119.0	456.119	1416.363931	3.219272	0.786119	8.15
20240108	-5.0	119.75	286.512	2209.797146	5.065352	1.663561	12.15
20240108	-5.0	120.5	410.494	1537.406637	3.128818	1.042317	14.12
20240108	-5.75	118.25	554.324	1147.422085	1.961836	0.489113	6.07
20240108	-5.75	119.0	534.923	1170.85244	2.008272	0.567566	7.07
20240108	-5.75	119.75	567.09	1086.153344	1.97393	0.749014	10.37
20240108	-5.75	120.5	564.567	1088.100615	1.950824	0.752188	11.41
20240109	-1.25	120.5	226.733	2755.317047	3.754672	0.902877	6.12
20240109	-2.0	120.5	341.213	1798.100307	2.725921	0.534015	9.49
20240109	-2.75	120.5	286.97	2192.607241	3.48156	0.845056	13.02
20240109	-3.5	118.25	630.085	1036.795353	1.34074	0.361057	7.93
20240109	-3.5	119.0	415.726	1521.707086	2.413046	0.612853	10.4
20240109	-3.5	119.75	249.244	2538.952994	4.45447	1.376326	12.35
20240109	-3.5	120.5	406.59	1577.084778	2.519157	0.79637	12.4
20240109	-4.25	118.25	734.71	882.567544	1.128107	0.311913	8.55
20240109	-4.25	119.0	712.689	901.176951	1.301513	0.400268	8.5
20240109	-4.25	119.75	391.218	1636.947942	2.7084	0.967412	10.53
20240109	-4.25	120.5	627.509	1020.024733	1.5733	0.56874	10.38
20240109	-5.0	118.25	603.538	1068.377468	1.484065	0.419996	7.85
20240109	-5.0	119.0	595.767	1072.921797	1.783634	0.581406	8.52
20240109	-5.0	119.75	329.559	1933.762392	3.668736	1.438843	10.24
20240109	-5.0	120.5	430.741	1488.366559	2.512851	1.02945	9.88
20240109	-5.75	118.25	575.463	1139.870852	1.545795	0.489175	6.15
20240109	-5.75	119.0	601.405	1108.971658	1.549131	0.527937	6.66
20240109	-5.75	119.75	581.101	1149.078387	1.847438	0.741028	8.1
20240109	-5.75	120.5	508.809	1328.865449	2.034262	0.831792	8.16
20240110	-1.25	120.5	215.766	2693.54903	3.465299	1.15869	12.83
20240110	-2.0	120.5	301.396	1890.166426	2.795124	0.712078	14.07
20240110	-2.75	120.5	285.456	2079.907586	3.226359	0.927349	17.22
20240110	-3.5	118.25	617.747	954.137697	1.343254	0.450577	5.81
20240110	-3.5	119.0	353.875	1612.829106	2.686163	0.836555	9.12
20240110	-3.5	119.75	293.831	1986.573915	3.662895	1.45002	13.46
20240110	-3.5	120.5	359.685	1689.650945	2.738566	1.096974	16.26
20240110	-4.25	118.25	606.896	1001.606865	1.314005	0.446567	5.37
20240110	-4.25	119.0	603.516	990.308293	1.438033	0.541655	5.45
20240110	-4.25	119.75	430.336	1406.202595	2.326591	1.083995	9.73
20240110	-4.25	120.5	457.961	1350.764366	2.098785	1.026504	12.54
20240110	-5.0	118.25	643.732	1028.414464	1.386817	0.464391	6.36
20240110	-5.0	119.0	577.888	1129.044728	1.802	0.687678	6.57
20240110	-5.0	119.75	368.38	1770.193822	3.303434	1.496281	8.97
20240110	-5.0	120.5	463.453	1439.007407	2.398248	1.15617	10.98
20240110	-5.75	118.25	710.971	1007.747573	1.274497	0.441586	7.95
20240110	-5.75	119.0	693.081	1034.594369	1.424107	0.519558	7.3
20240110	-5.75	119.75	612.294	1174.76686	1.897177	0.826402	8.81
20240110	-5.75	120.5	560.938	1306.73069	2.002462	0.934258	9.11
20240111	-1.25	120.5	239.295	2504.026411	3.215745	1.101454	5.77
20240111	-2.0	120.5	266.441	2181.032949	3.926524	0.789266	6.73
20240111	-2.75	120.5	297.368	2096.513075	4.274838	0.933957	9.54
20240111	-3.5	118.25	572.219	1107.730082	1.788953	0.452971	6.17
20240111	-3.5	119.0	556.394	1085.955636	2.115474	0.48287	7.46
20240111	-3.5	119.75	217.985	2808.940523	6.400665	1.846076	9.44
20240111	-3.5	120.5	321.376	1989.086926	4.292875	1.205921	9.53
20240111	-4.25	118.25	665.399	1011.409846	1.393604	0.354468	6.21
20240111	-4.25	119.0	673.188	961.086502	1.60938	0.413122	5.87
20240111	-4.25	119.75	472.066	1371.594226	2.80952	0.869024	7.88
20240111	-4.25	120.5	601.67	1085.349112	2.166164	0.719781	8.24
20240111	-5.0	118.25	633.576	1148.51036	1.501868	0.413134	6.33
20240111	-5.0	119.0	604.592	1163.252408	1.958967	0.567232	6.63
20240111	-5.0	119.75	411.055	1696.761017	3.564793	1.226595	8.53
20240111	-5.0	120.5	514.305	1374.16708	2.642432	0.998853	8.54
20240111	-5.75	118.25	588.006	1292.318956	1.662626	0.548092	6.32
20240111	-5.75	119.0	617.141	1227.026401	1.67836	0.564022	6.39
20240111	-5.75	119.75	616.928	1216.901	2.061578	0.789094	7.78
20240111	-5.75	120.5	485.837	1550.839479	2.520193	1.064287	7.84
20240112	-1.25	120.5	236.021	2510.779973	3.334841	2.451675	12.07
20240112	-2.0	120.5	418.084	1374.074588	2.148744	0.83317	10.74
20240112	-2.75	120.5	304.589	2023.049092	3.436309	1.111647	11.77
20240112	-3.5	118.25	624.561	1137.515791	1.586656	0.615234	8.97
20240112	-3.5	119.0	606.3	1083.236846	1.86065	0.71661	9.48
20240112	-3.5	119.75	274.271	2343.163878	4.862388	1.940408	11.2
20240112	-3.5	120.5	368.433	1779.042865	3.461099	1.219126	11.24
20240112	-4.25	118.25	607.253	1220.682319	1.487105	0.481627	9.72
20240112	-4.25	119.0	716.592	1000.651277	1.356292	0.494695	8.68
20240112	-4.25	119.75	549.024	1265.546679	2.161851	0.851251	10.25
20240112	-4.25	120.5	745.311	909.41996	1.678395	0.63604	9.71
20240112	-5.0	118.25	589.548	1299.45331	1.520161	0.432349	10.4
20240112	-5.0	119.0	557.652	1337.205641	1.878015	0.614173	9.9
20240112	-5.0	119.75	456.037	1598.769398	2.810246	1.07632	10.76
20240112	-5.0	120.5	652.818	1098.250661	1.927946	0.764931	10.15
20240112	-5.75	118.25	514.324	1516.854551	1.799343	0.574688	9.83
20240112	-5.75	119.0	566.022	1369.724852	1.707288	0.536522	9.63
20240112	-5.75	119.75	658.43	1157.962426	1.779673	0.654312	10.19
20240112	-5.75	120.5	533.62	1422.23305	2.15304	0.901459	10.0
20240113	-1.25	120.5	212.461	2737.545714	4.101417	2.232218	8.19
20240113	-2.0	120.5	379.378	1486.009732	2.35802	0.902646	8.55
20240113	-2.75	120.5	291.362	2066.268765	3.296242	1.19164	11.15
20240113	-3.5	118.25	583.81	1265.969922	1.493915	0.480437	9.8
20240113	-3.5	119.0	643.604	1068.087986	1.474897	0.554301	9.47
20240113	-3.5	119.75	253.305	2642.279465	4.296441	1.982417	11.12
20240113	-3.5	120.5	314.224	2127.556775	3.370828	1.468195	11.99
20240113	-4.25	118.25	590.464	1283.553273	1.458824	0.391626	12.55
20240113	-4.25	119.0	694.055	1070.842945	1.324035	0.411658	10.28
20240113	-4.25	119.75	400.539	1807.123152	2.686093	1.073252	11.57
20240113	-4.25	120.5	682.099	1050.170576	1.559906	0.69956	11.5
20240113	-5.0	118.25	591.282	1304.167555	1.673498	0.408272	14.89
20240113	-5.0	119.0	570.86	1324.944995	1.995924	0.548767	13.16
20240113	-5.0	119.75	399.144	1857.987343	3.438223	1.056036	13.29
20240113	-5.0	120.5	525.479	1405.467393	2.41128	0.867252	12.85
20240113	-5.75	118.25	561.951	1394.188283	1.936544	0.685043	15.21
20240113	-5.75	119.0	571.394	1362.316545	2.036528	0.562512	14.07
20240113	-5.75	119.75	609.125	1255.723374	2.174138	0.660102	13.79
20240113	-5.75	120.5	439.175	1728.821085	2.698268	0.891248	12.76
20240114	-1.25	120.5	225.234	2707.152117	3.47886	0.870084	4.79
20240114	-2.0	120.5	290.87	2017.952694	3.34463	0.702586	4.92
20240114	-2.75	120.5	259.82	2419.567008	4.580098	1.19225	5.85
20240114	-3.5	118.25	691.688	1015.045223	1.37807	0.423034	5.35
20240114	-3.5	119.0	691.828	956.144446	1.586068	0.512473	5.55
20240114	-3.5	119.75	175.802	3833.552519	7.540961	3.037569	6.07
20240114	-3.5	120.5	317.591	2168.389218	3.916931	1.585598	5.49
20240114	-4.25	118.25	651.617	1130.022237	1.22829	0.402138	6.09
20240114	-4.25	119.0	825.51	862.446609	1.060766	0.383805	5.11
20240114	-4.25	119.75	545.107	1308.757363	1.989009	0.895856	5.72
20240114	-4.25	120.5	748.344	956.980079	1.399835	0.717278	4.86
20240114	-5.0	118.25	572.51	1351.268449	1.443753	0.463024	6.99
20240114	-5.0	119.0	597.951	1251.983858	1.656199	0.548436	6.44
20240114	-5.0	119.75	461.823	1577.615017	2.324165	0.965482	6.79
20240114	-5.0	120.5	688.927	1062.00686	1.41598	0.69254	5.69
20240114	-5.75	118.25	584.117	1350.485262	1.486263	0.65144	8.34
20240114	-5.75	119.0	609.331	1290.93235	1.49688	0.495776	7.21
20240114	-5.75	119.75	648.451	1185.797231	1.537991	0.597032	7.17
20240114	-5.75	120.5	473.641	1607.148452	1.915954	0.796843	6.35
20240115	-1.25	120.5	252.653	2545.720019	3.292794	0.719552	4.8
20240115	-2.0	120.5	357.632	1724.862149	2.466001	0.452123	5.28
20240115	-2.75	120.5	250.289	2605.866019	3.937279	0.935086	7.67
20240115	-3.5	118.25	624.101	1164.506386	1.366781	0.504793	5.57
20240115	-3.5	119.0	612.856	1107.752229	1.532062	0.474714	6.14
20240115	-3.5	119.75	204.718	3318.522064	5.166317	2.034981	8.07
20240115	-3.5	120.5	355.51	1949.986217	2.835597	1.08881	8.17
20240115	-4.25	118.25	596.783	1241.662045	1.308019	0.38483	6.42
20240115	-4.25	119.0	716.104	984.093512	1.203842	0.409926	5.63
20240115	-4.25	119.75	497.76	1399.07365	1.975153	0.83813	7.39
20240115	-4.25	120.5	628.711	1113.051466	1.492759	0.711484	7.58
20240115	-5.0	118.25	536.067	1432.789558	1.327073	0.341366	7.22
20240115	-5.0	119.0	624.338	1167.209749	1.392423	0.458018	6.93
20240115	-5.0	119.75	504.585	1381.064835	2.12805	0.910327	8.33
20240115	-5.0	120.5	672.716	1038.580619	1.457269	0.71004	8.34
20240115	-5.75	118.25	555.544	1416.031673	1.251162	0.459945	9.55
20240115	-5.75	119.0	624.554	1235.258601	1.150509	0.368804	7.94
20240115	-5.75	119.75	701.604	1055.746832	1.286871	0.536985	8.49
20240115	-5.75	120.5	500.697	1446.579468	1.800376	0.805704	7.94
20240116	-1.25	120.5	253.481	2636.059113	3.413593	0.668575	4.39
20240116	-2.0	120.5	314.809	2058.319489	3.101266	0.460362	4.78
20240116	-2.75	120.5	258.749	2665.481992	4.414027	0.791952	5.92
20240116	-3.5	118.25	693.489	1174.821518	1.298269	0.464711	4.82
20240116	-3.5	119.0	521.627	1469.687727	1.907366	0.573716	5.42
20240116	-3.5	119.75	211.554	3555.727616	5.887045	1.892576	6.61
20240116	-3.5	120.5	318.517	2345.413589	3.82228	1.12002	5.98
20240116	-4.25	118.25	628.603	1315.141671	1.432755	0.359252	4.63
20240116	-4.25	119.0	646.616	1251.42372	1.372134	0.460915	4.45
20240116	-4.25	119.75	391.999	2018.23423	2.809637	1.051077	5.96
20240116	-4.25	120.5	451.806	1723.661483	2.429454	0.956599	5.7
20240116	-5.0	118.25	550.924	1514.734519	1.598366	0.358307	5.13
20240116	-5.0	119.0	550.83	1488.471942	1.758972	0.528038	5.49
20240116	-5.0	119.75	398.741	2016.844769	3.057827	1.065944	6.88
20240116	-5.0	120.5	443.663	1793.256368	2.59435	0.993557	6.33
20240116	-5.75	118.25	543.681	1523.270999	1.523707	0.635438	7.53
20240116	-5.75	119.0	579.02	1435.742289	1.51175	0.486281	5.79
20240116	-5.75	119.75	612.916	1338.260545	1.765895	0.612061	6.61
20240116	-5.75	120.5	492.228	1661.516208	2.061272	0.714379	5.93
20240117	-1.25	120.5	266.677	2553.175939	3.43563	0.645192	5.57
20240117	-2.0	120.5	331.232	2016.76076	3.263546	0.489865	5.79
20240117	-2.75	120.5	283.794	2533.366456	4.500652	0.76986	7.03
20240117	-3.5	118.25	744.099	1101.278728	1.03734	0.278375	6.17
20240117	-3.5	119.0	481.05	1631.800021	1.671376	0.473233	6.56
20240117	-3.5	119.75	232.69	3370.255705	4.605583	1.530558	7.7
20240117	-3.5	120.5	281.25	2781.410844	4.279815	1.23765	7.19
20240117	-4.25	118.25	768.203	1064.165071	0.973392	0.250015	5.75
20240117	-4.25	119.0	729.146	1111.489331	1.013627	0.308653	5.44
20240117	-4.25	119.75	361.391	2232.915872	2.58735	1.010067	6.74
20240117	-4.25	120.5	350.555	2307.950821	2.647826	1.175154	6.62
20240117	-5.0	118.25	728.641	1122.073833	1.040875	0.278641	5.43
20240117	-5.0	119.0	655.826	1233.284743	1.248751	0.411284	6.14
20240117	-5.0	119.75	306.836	2605.194306	3.284292	1.347728	8.03
20240117	-5.0	120.5	436.914	1842.619371	2.206352	1.007628	7.42
20240117	-5.75	118.25	712.784	1149.298946	1.089592	0.422065	6.07
20240117	-5.75	119.0	661.38	1224.454323	1.166363	0.415507	5.53
20240117	-5.75	119.75	612.62	1307.926774	1.493486	0.636154	6.97
20240117	-5.75	120.5	403.357	1988.055246	2.253824	0.967767	6.73
20240118	-1.25	120.5	234.671	2990.558697	3.7965	0.885666	5.71
20240118	-2.0	120.5	357.715	1907.647429	2.904818	0.486153	5.94
20240118	-2.75	120.5	279.429	2602.8093	4.47762	0.715452	6.8
20240118	-3.5	118.25	677.72	1196.460485	1.29677	0.409645	6.06
20240118	-3.5	119.0	470.877	1641.75549	2.125207	0.58493	6.66
20240118	-3.5	119.75	271.931	2845.228385	4.65663	1.447127	7.99
20240118	-3.5	120.5	336.296	2328.272117	3.809067	1.011819	7.23
20240118	-4.25	118.25	667.168	1221.838577	1.268178	0.391734	5.77
20240118	-4.25	119.0	670.28	1196.485499	1.28891	0.423261	5.62
20240118	-4.25	119.75	435.163	1831.294251	2.516232	0.972283	7.24
20240118	-4.25	120.5	351.632	2281.360058	3.090913	1.231782	7.09
20240118	-5.0	118.25	644.489	1274.17551	1.350841	0.416415	5.33
20240118	-5.0	119.0	632.361	1276.920462	1.56062	0.512178	5.94
20240118	-5.0	119.75	436.728	1814.014444	2.862161	1.076938	7.85
20240118	-5.0	120.5	410.213	1947.690346	2.859605	1.137825	7.53
20240118	-5.75	118.25	613.481	1340.684227	1.486881	0.463852	5.34
20240118	-5.75	119.0	648.814	1260.453073	1.382984	0.431711	5.16
20240118	-5.75	119.75	659.858	1218.011906	1.673149	0.606451	6.61
20240118	-5.75	120.5	413.291	1934.07478	2.671169	1.000952	6.68
20240119	-1.25	120.5	253.03	2859.817808	4.406011	1.560626	5.38
20240119	-2.0	120.5	421.783	1644.518864	2.908038	0.70302	5.32
20240119	-2.75	120.5	295.275	2455.425282	4.415541	1.129511	5.85
20240119	-3.5	118.25	746.801	1113.821085	1.181126	0.578974	5.66
20240119	-3.5	119.0	752.889	1043.190032	1.33529	0.619343	5.7
20240119	-3.5	119.75	281.874	2745.870495	4.4675	2.205661	6.46
20240119	-3.5	120.5	321.238	2418.387613	4.149061	1.584742	5.88
20240119	-4.25	118.25	761.686	1073.684169	1.184474	0.402361	5.87
20240119	-4.25	119.0	860.343	952.049822	1.151175	0.462272	5.62
20240119	-4.25	119.75	732.861	1097.587674	1.687155	0.782113	6.07
20240119	-4.25	120.5	767.707	1039.990908	1.533074	0.791574	5.52
20240119	-5.0	118.25	751.811	1058.750936	1.276132	0.30378	5.23
20240119	-5.0	119.0	766.033	1049.931139	1.480101	0.439511	5.68
20240119	-5.0	119.75	670.449	1198.482957	2.052586	0.766606	6.32
20240119	-5.0	120.5	811.413	986.55358	1.510102	0.687857	5.72
20240119	-5.75	118.25	731.879	1046.962954	1.376159	0.424867	5.13
20240119	-5.75	119.0	747.447	1058.427688	1.359905	0.360557	4.89
20240119	-5.75	119.75	798.889	997.467858	1.51919	0.520288	5.32
20240119	-5.75	120.5	461.991	1740.801444	2.433262	1.000562	5.15
20240120	-1.25	120.5	276.04	2552.025793	3.186934	0.824536	5.45
20240120	-2.0	120.5	349.623	1974.961029	2.503423	0.622956	6.51
20240120	-2.75	120.5	241.347	3065.736885	3.735081	1.235823	8.47
20240120	-3.5	118.25	638.36	1275.534651	1.350685	0.470602	5.31
20240120	-3.5	119.0	602.329	1296.898539	1.464566	0.468398	5.62
20240120	-3.5	119.75	259.61	3011.330842	3.579051	1.458375	7.45
20240120	-3.5	120.5	259.561	3056.858311	3.447336	1.558531	8.58
20240120	-4.25	118.25	688.579	1163.462145	1.275444	0.48821	6.44
20240120	-4.25	119.0	720.826	1113.293083	1.279017	0.439244	6.03
20240120	-4.25	119.75	517.54	1548.235885	1.891128	0.761965	7.22
20240120	-4.25	120.5	826.852	977.967762	1.067853	0.491875	7.29
20240120	-5.0	118.25	704.459	1106.749719	1.29514	0.698688	6.96
20240120	-5.0	119.0	732.956	1065.176627	1.389302	0.656682	7.27
20240120	-5.0	119.75	513.912	1520.71269	2.374298	0.972487	8.09
20240120	-5.0	120.5	662.245	1195.843834	1.628168	0.725341	7.67
20240120	-5.75	118.25	676.331	1120.489819	1.387038	1.223823	8.81
